Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-1035G1,337,67.6,6710,https://cpu.userbenchmark.com/SpeedTest/895407/IntelR-CoreTM-i5-1035G1-CPU---100GHz
CPU,,Intel,Core i7-6820HQ,338,67.5,16987,https://cpu.userbenchmark.com/SpeedTest/43500/IntelR-CoreTM-i7-6820HQ-CPU---270GHz
CPU,FD9370FHHKWOF,AMD,FX-9370,339,67.5,7133,https://cpu.userbenchmark.com/AMD-FX-9370/Rating/2005
CPU,,Intel,Core i7-3740QM,340,67.5,9680,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz
CPU,,Intel,Xeon X3440,341,67.4,3480,https://cpu.userbenchmark.com/SpeedTest/6655/IntelR-XeonR-CPU-----------X3440----253GHz
CPU,,Intel,Core i5-2310,342,67.4,10544,https://cpu.userbenchmark.com/SpeedTest/2055/IntelR-CoreTM-i5-2310-CPU---290GHz
CPU,FD8370FRHKBOX,AMD,FX-8370,343,67.4,26200,https://cpu.userbenchmark.com/AMD-FX-8370/Rating/2983
CPU,,Intel,Core i5-4570R,344,67.3,660,https://cpu.userbenchmark.com/SpeedTest/6445/IntelR-CoreTM-i5-4570R-CPU---270GHz
CPU,,Intel,Core i7-6700HQ,345,67.2,226877,https://cpu.userbenchmark.com/SpeedTest/34954/IntelR-CoreTM-i7-6700HQ-CPU---260GHz
CPU,,Intel,Core i5-2500S,346,67.2,1908,https://cpu.userbenchmark.com/SpeedTest/1699/IntelR-CoreTM-i5-2500S-CPU---270GHz
CPU,BX80677I57400T,Intel,Core i5-7400T,347,67.2,2240,https://cpu.userbenchmark.com/SpeedTest/244917/IntelR-CoreTM-i5-7400T-CPU---240GHz
CPU,,Intel,Core i7-3820QM,348,67.2,2044,https://cpu.userbenchmark.com/SpeedTest/4339/IntelR-CoreTM-i7-3820QM-CPU---270GHz
CPU,,Intel,Core i7-4710MQ,349,67.1,16420,https://cpu.userbenchmark.com/SpeedTest/9397/IntelR-CoreTM-i7-4710MQ-CPU---250GHz
CPU,,Intel,Core i7-4800MQ,350,66.9,16211,https://cpu.userbenchmark.com/SpeedTest/3437/IntelR-CoreTM-i7-4800MQ-CPU---270GHz
CPU,,Intel,Core i7-4720HQ,351,66.9,59173,https://cpu.userbenchmark.com/SpeedTest/20045/IntelR-CoreTM-i7-4720HQ-CPU---260GHz
CPU,FH8068403419422,Intel,Core i3-8109U,352,66.9,920,https://cpu.userbenchmark.com/SpeedTest/609620/IntelR-CoreTM-i3-8109U-CPU---300GHz
CPU,BX80677I37100,Intel,Core i3-7100,353,66.8,50208,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,BX80684G5400,Intel,Pentium Gold G5400,354,66.8,7983,https://cpu.userbenchmark.com/SpeedTest/484278/IntelR-PentiumR-Gold-G5400-CPU---370GHz
CPU,,Intel,Core i5-2300,355,66.7,12584,https://cpu.userbenchmark.com/SpeedTest/291/IntelR-CoreTM-i5-2300-CPU---280GHz
CPU,,Intel,Core i7 940,356,66.6,1833,https://cpu.userbenchmark.com/SpeedTest/606/IntelR-CoreTM-i7-CPU---------940----293GHz
CPU,FD8350FRHKBOX,AMD,FX-8350,357,66.6,264508,https://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489
CPU,,Intel,Core i7 860,358,66.6,33364,https://cpu.userbenchmark.com/SpeedTest/841/IntelR-CoreTM-i7-CPU---------860----280GHz
CPU,,Intel,Core i7 930,359,66.5,18093,https://cpu.userbenchmark.com/SpeedTest/79/IntelR-CoreTM-i7-CPU---------930----280GHz
CPU,,Intel,Core i7-4710HQ,360,66.3,55448,https://cpu.userbenchmark.com/SpeedTest/11499/IntelR-CoreTM-i7-4710HQ-CPU---250GHz
CPU,CW8064701470702,Intel,Core i7-4700MQ,361,66.3,44265,https://cpu.userbenchmark.com/Intel-Core-i7-4700MQ/Rating/2727
CPU,,Intel,Xeon W3530,362,66.3,3741,https://cpu.userbenchmark.com/SpeedTest/3000/IntelR-XeonR-CPU-----------W3530----280GHz
CPU,BX80646I34360,Intel,Core i3-4360,363,66.2,1294,https://cpu.userbenchmark.com/Intel-Core-i3-4360/Rating/2819
CPU,,Intel,Core i7-4722HQ,364,66.2,163,https://cpu.userbenchmark.com/SpeedTest/32895/IntelR-CoreTM-i7-4722HQ-CPU---240GHz
CPU,,Intel,Core i5-3330S,365,66.2,2736,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz
CPU,BX80646I34350,Intel,Core i3-4350,366,66.2,356,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433
CPU,BX80677G4600,Intel,Pentium G4600,367,66,11087,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894
CPU,BX80605I5750,Intel,Core i5-750,368,65.9,35111,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773
CPU,BX80662I36100,Intel,Core i3-6100,369,65.9,78415,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Core i7-3720QM,370,65.8,7421,https://cpu.userbenchmark.com/SpeedTest/1619/IntelR-CoreTM-i7-3720QM-CPU---260GHz
CPU,BX80646I34340,Intel,Core i3-4340,371,65.6,607,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877
CPU,BX80662I36300T,Intel,Core i3-6300T,372,65.5,88,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz
CPU,,Intel,Core i5-10310U,373,65.4,45,https://cpu.userbenchmark.com/SpeedTest/1150155/IntelR-CoreTM-i5-10310U-CPU---170GHz
CPU,,Intel,Core i5-8365U,374,65.4,2228,https://cpu.userbenchmark.com/SpeedTest/774761/IntelR-CoreTM-i5-8365U-CPU---160GHz
CPU,,Intel,Core i7-4850HQ,375,65.3,643,https://cpu.userbenchmark.com/SpeedTest/7877/IntelR-CoreTM-i7-4850HQ-CPU---230GHz
CPU,AW8063801106200,Intel,Core i7-3630QM,376,65.2,46424,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626
CPU,,Intel,Xeon E5-2670 v2,377,65.1,208,https://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz
CPU,,Intel,Core i3-6098P,378,65.1,4023,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,BX80601920,Intel,Core i7-920,379,65.1,51910,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981
CPU,AW8063801013511,Intel,Core i7-3610QM,380,65.1,27021,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730
CPU,,Intel,Core i7-8665U,381,65.1,3291,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,FJ8068404064604,Intel,Core i5-8265U,382,65.1,38339,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,BX80646I34330,Intel,Core i3-4330,383,65,4233,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,,Intel,Core i5-6300HQ,384,64.8,38881,https://cpu.userbenchmark.com/SpeedTest/38166/IntelR-CoreTM-i5-6300HQ-CPU---230GHz
CPU,,Intel,Core i7-4702MQ,385,64.8,15727,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,386,64.7,39691,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,,AMD,Ryzen 5 2600H,387,64.7,132,https://cpu.userbenchmark.com/SpeedTest/617618/AMD-Ryzen-5-2600H-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-7567U,388,64.7,1408,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,389,64.6,9692,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004
CPU,,Intel,Core i5-8350U,390,64.6,9778,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,BX80646I34170,Intel,Core i3-4170,391,64.5,31150,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,392,64.5,40444,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,CM8068403377713,Intel,Pentium G5500T,393,64.4,31,https://cpu.userbenchmark.com/SpeedTest/519437/IntelR-PentiumR-Gold-G5500T-CPU---320GHz
CPU,,Intel,Core i5-1035G4,394,64.4,2998,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,Intel,Xeon W3520,395,64.4,4692,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz
CPU,,Intel,Core i7-4750HQ,396,64.3,4119,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz
CPU,,Intel,Core i5-2405S,397,64.3,131,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz
CPU,,Intel,Core i7-4770HQ,398,64.3,1172,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz
CPU,,Intel,Core i5-2400S,399,64.2,6592,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz
CPU,BX80677I37100T,Intel,Core i3-7100T,400,64.2,1460,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,,Intel,Core i5-1035G7,401,64.1,1377,https://cpu.userbenchmark.com/SpeedTest/920409/IntelR-CoreTM-i5-1035G7-CPU---120GHz
CPU,,AMD,Ryzen 9 4900U,402,64.1,1,https://cpu.userbenchmark.com/SpeedTest/1097507/AMD-Ryzen-9-4900U-with-Radeon-Graphics
CPU,CM8068403360212,Intel,Pentium G5400T,403,64.1,83,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,BX80677G4560,Intel,Pentium G4560,404,64,54506,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,,AMD,FX-6350 Six-Core,405,63.9,20146,https://cpu.userbenchmark.com/SpeedTest/713/AMD-FXtm-6350-Six-Core-Processor
CPU,,Intel,Core i7-8550U,406,63.9,114641,https://cpu.userbenchmark.com/SpeedTest/320742/IntelR-CoreTM-i7-8550U-CPU---180GHz
CPU,YD1200BBAEBOX,AMD,Ryzen 3 1200,407,63.8,53853,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931
CPU,,Intel,Core i5-7260U,408,63.7,1725,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz
CPU,FD8320FRHKBOX,AMD,FX-8320,409,63.7,94263,https://cpu.userbenchmark.com/AMD-FX-8320/Rating/1983
CPU,,AMD,Phenom II X4 980,410,63.7,945,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor
CPU,FD837EWMHKBOX,AMD,FX-8370E,411,63.6,4142,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984
CPU,,Intel,Core i7-8650U,412,63.6,25407,https://cpu.userbenchmark.com/SpeedTest/353957/IntelR-CoreTM-i7-8650U-CPU---190GHz
CPU,BX80646I34160,Intel,Core i3-4160,413,63.6,22621,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,,Intel,Core i7-4702HQ,414,63.6,2446,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,,Intel,Core i7-3615QM,415,63.4,1987,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,,Intel,Core i7-3632QM,416,63.4,19177,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
CPU,,Intel,Core i7-2920XM,417,63.3,672,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,,Intel,Core i7-2960XM,418,63.2,654,https://cpu.userbenchmark.com/SpeedTest/2390/IntelR-CoreTM-i7-2960XM-CPU---270GHz
CPU,,AMD,FX-8310,419,63.2,1288,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor
