Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HDS722020ALA330 2TB,262,54.1,11563,https://hdd.userbenchmark.com/SpeedTest/1289/Hitachi-HDS722020ALA330
HDD,,Seagate,ST31000525SV 1TB,263,54,1394,https://hdd.userbenchmark.com/SpeedTest/9992/ST31000525SV
HDD,,Hitachi,HTS725050A7E630 500GB,264,54,33039,https://hdd.userbenchmark.com/SpeedTest/386/HGST-HTS725050A7E630
HDD,,,GB0500EAFYL 500GB,265,53.9,380,https://hdd.userbenchmark.com/SpeedTest/5763/GB0500EAFYL
HDD,,WD,WD1001FALS-00U9B0 1TB,266,53.9,2235,https://hdd.userbenchmark.com/SpeedTest/2730/WDC-WD1001FALS-00U9B0
HDD,,Hitachi,HTS725050A7E63 500GB,267,53.9,21,https://hdd.userbenchmark.com/SpeedTest/12194/HTS725050A7E63
HDD,ST3500413AS,Seagate,Barracuda 7200.12 500GB,268,53.8,66875,https://hdd.userbenchmark.com/SpeedTest/1134/ST3500413AS
HDD,ST1500DL003,Seagate,Barracuda Green 1.5TB,269,53.8,12396,https://hdd.userbenchmark.com/SpeedTest/2196/ST1500DL003-9VT16L
HDD,ST1000LM014,Seagate,Laptop SSHD 2.5" (32GB NAND) 1TB,270,53.8,355,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--32GB-NAND-1TB/Rating/3600
HDD,,Hitachi,HDS5C3020ALA632 2TB,271,53.7,5901,https://hdd.userbenchmark.com/SpeedTest/693/Hitachi-HDS5C3020ALA632
HDD,WD5000AAKX,WD,Blue 500GB (2010),272,53.6,288314,https://hdd.userbenchmark.com/SpeedTest/398/WDC-WD5000AAKX-001CA0
HDD,ST250DM000,Seagate,Barracuda 7200.14 250GB,273,53.2,17456,https://hdd.userbenchmark.com/SpeedTest/3265/ST250DM000-1BD141
HDD,,Seagate,ST31000524AS 1TB,274,53.1,254,https://hdd.userbenchmark.com/SpeedTest/12491/Seagate-ST31000524AS
HDD,WD7500BPKT,WD,Black 2.5" 750GB (2011),275,52.9,12429,https://hdd.userbenchmark.com/SpeedTest/310/WDC-WD7500BPKT-60PK4T0
HDD,,Seagate,ST2000LM003 HN-M201RAD 2TB,276,52.7,34199,https://hdd.userbenchmark.com/SpeedTest/12558/ST2000LM003-HN-M201RAD
HDD,,Seagate,ST3640623AS 640GB,277,52.5,654,https://hdd.userbenchmark.com/SpeedTest/5431/ST3640623AS
HDD,WD7500BPKX,WD,Black 2.5" 750GB (2013),278,52.5,14744,https://hdd.userbenchmark.com/SpeedTest/1740/WDC-WD7500BPKX-80HPJ
HDD,,WD,WD5002ABYS-02B1B0 500GB,279,52.5,5256,https://hdd.userbenchmark.com/SpeedTest/4481/WDC-WD5002ABYS-02B1B0
HDD,,,GB0250EAFYK 250GB,280,52.4,473,https://hdd.userbenchmark.com/SpeedTest/5794/GB0250EAFYK
HDD,WD10EARX,WD,Green 1TB (2011),281,52.2,27635,https://hdd.userbenchmark.com/SpeedTest/2607/WDC-WD10EARX-00N0YB0
HDD,,WD,WD5000AUDX-63WNHY0 500GB,282,52,2283,https://hdd.userbenchmark.com/SpeedTest/1793/WDC-WD5000AUDX-63WNHY0
HDD,,Hitachi,HDS721010CLA 1TB,283,52,1131,https://hdd.userbenchmark.com/SpeedTest/1227/Hitachi-HDS721010CLA
HDD,,Seagate,STM31000528AS 1TB,284,51.6,836,https://hdd.userbenchmark.com/SpeedTest/4190/STM31000528AS
HDD,WD2500AAKX,WD,Blue 250GB (2010),285,51.5,34603,https://hdd.userbenchmark.com/SpeedTest/53/WDC-WD2500AAKX-753CA1
HDD,,WD,WD7502ABYS-02A6B0 750GB,286,51.5,745,https://hdd.userbenchmark.com/SpeedTest/9643/WDC-WD7502ABYS-02A6B0
HDD,,WD,WD25EZRS-00J99B0 2.5TB,287,51.4,666,https://hdd.userbenchmark.com/SpeedTest/9160/WDC-WD25EZRS-00J99B0
HDD,HTS727575A9E364,HGST,Travelstar 7K750 2.5" 750GB,288,51.3,11993,https://hdd.userbenchmark.com/SpeedTest/104/Hitachi-HTS727575A9E364
HDD,WD20EARS,WD,Green 2TB (2010),289,51.2,4238,https://hdd.userbenchmark.com/SpeedTest/2609/WDC-WD20EARS-00M
HDD,WD05PURZ,WD,Purple Surveillance 500GB (2017),290,51.1,4,https://hdd.userbenchmark.com/SpeedTest/430589/WDC-WD05PURZ-85U8XY0
HDD,,WD,WD1002FBYS-02A6B0 1TB,291,51.1,17237,https://hdd.userbenchmark.com/SpeedTest/22/WDC-WD1002FBYS-02A6B0
HDD,,Toshiba,MQ01ACF032 320GB,292,51,3714,https://hdd.userbenchmark.com/SpeedTest/4030/TOSHIBA-MQ01ACF032
HDD,,Seagate,ST31000333AS 1TB,293,50.9,8949,https://hdd.userbenchmark.com/SpeedTest/1279/ST31000333AS
HDD,,Seagate,ST3640323AS 640GB,294,50.9,1933,https://hdd.userbenchmark.com/SpeedTest/3064/ST3640323AS
HDD,,Seagate,ST9750422AS 750GB,295,50.8,616,https://hdd.userbenchmark.com/SpeedTest/6425/ST9750422AS
HDD,WD7500AZRX,WD,Green 750GB (2012),296,50.8,882,https://hdd.userbenchmark.com/SpeedTest/1925/WDC-WD7500AZRX-00A8LB0
HDD,,Hitachi,HDT721075SLA380 750GB,297,50.8,526,https://hdd.userbenchmark.com/SpeedTest/3276/Hitachi-HDT721075SLA380
HDD,,,GB1000EAMYC 1TB,298,50.7,802,https://hdd.userbenchmark.com/SpeedTest/10569/GB1000EAMYC
HDD,,WD,WD2502ABYS-18B7A0 250GB,299,50.7,1021,https://hdd.userbenchmark.com/SpeedTest/4931/WDC-WD2502ABYS-18B7A0
HDD,,Hitachi,HDS721025CLA382 250GB,300,50.7,4656,https://hdd.userbenchmark.com/SpeedTest/6106/Hitachi-HDS721025CLA382
